application_id,application_date,annual_income,credit_score,debt_to_income_ratio,loan_amount,employment_years,region,default_risk
APP-20000,2023-01-01 00:00,50369.99,660.0,0.237,17072.0,18,West,0
APP-20001,2023-01-01 08:00,66913.52,669.0,0.283,9727.0,17,West,1
APP-20002,2023-01-01 16:00,51090.39,621.0,0.195,16021.0,9,North,1
APP-20003,2023-01-02 00:00,54945.64,660.0,0.299,17552.0,4,North,1
APP-20004,2023-01-02 08:00,51482.68,761.0,0.271,38783.0,23,East,0
APP-20005,2023-01-02 16:00,61403.7,732.0,0.244,29429.0,24,South,0
APP-20006,2023-01-03 00:00,66071.37,666.0,0.211,23580.0,24,West,1
APP-20007,2023-01-03 08:00,61801.07,679.0,0.302,38911.0,0,South,1
APP-20008,2023-01-03 16:00,87993.6,765.0,0.219,36610.0,16,West,0
APP-20009,2023-01-04 00:00,77166.6,764.0,0.141,22920.0,16,East,1
APP-20010,2023-01-04 08:00,53254.51,713.0,0.282,36699.0,0,South,1
APP-20011,2023-01-04 16:00,69884.09,763.0,0.181,19151.0,24,West,1
APP-20012,2023-01-05 00:00,54490.08,676.0,0.148,13065.0,0,West,1
APP-20013,2023-01-05 08:00,59073.14,720.0,0.29,13144.0,22,East,0
APP-20014,2023-01-05 16:00,72187.96,644.0,0.267,28181.0,21,South,0
APP-20015,2023-01-06 00:00,74984.75,694.0,0.211,22537.0,8,East,0
APP-20016,2023-01-06 08:00,56188.52,711.0,0.298,28063.0,24,South,0
APP-20017,2023-01-06 16:00,48426.96,634.0,0.314,29013.0,3,South,1
APP-20018,2023-01-07 00:00,66315.55,737.0,0.299,5781.0,8,West,0
APP-20019,2023-01-07 08:00,71519.34,744.0,0.296,6891.0,13,North,0
APP-20020,2023-01-07 16:00,55425.67,756.0,0.152,23644.0,14,South,0
APP-20021,2023-01-08 00:00,77248.32,815.0,0.383,11686.0,15,South,0
APP-20022,2023-01-08 08:00,74589.4,729.0,0.325,27139.0,15,East,1
APP-20023,2023-01-08 16:00,55206.93,707.0,0.204,24327.0,12,South,1
APP-20024,2023-01-09 00:00,81952.43,638.0,0.279,25502.0,13,South,1
APP-20025,2023-01-09 08:00,82410.91,728.0,0.294,15586.0,21,South,0
APP-20026,2023-01-09 16:00,96015.02,735.0,0.277,27395.0,20,South,0
APP-20027,2023-01-10 00:00,90676.4,649.0,0.423,34032.0,8,South,0
APP-20028,2023-01-10 08:00,51460.8,699.0,0.124,39932.0,22,North,1
APP-20029,2023-01-10 16:00,78874.74,711.0,0.162,34346.0,8,West,0
APP-20030,2023-01-11 00:00,78194.44,734.0,0.096,24512.0,20,South,1
APP-20031,2023-01-11 08:00,59772.75,749.0,0.286,11770.0,3,East,1
APP-20032,2023-01-11 16:00,71823.87,686.0,0.324,28851.0,9,East,1
APP-20033,2023-01-12 00:00,36835.65,719.0,0.309,37818.0,2,South,1
APP-20034,2023-01-12 08:00,36419.21,736.0,0.257,12415.0,20,South,1
APP-20035,2023-01-12 16:00,39280.37,702.0,0.313,13960.0,8,South,0
APP-20036,2023-01-13 00:00,70838.85,691.0,0.256,10215.0,18,North,1
APP-20037,2023-01-13 08:00,71547.64,742.0,0.339,30785.0,15,West,0
APP-20038,2023-01-13 16:00,60891.74,702.0,0.369,19230.0,15,East,1
APP-20039,2023-01-14 00:00,90817.54,656.0,0.206,7194.0,16,North,0
APP-20040,2023-01-14 08:00,79806.13,772.0,0.257,35623.0,17,North,1
APP-20041,2023-01-14 16:00,41025.3,661.0,0.27,24519.0,9,South,1
APP-20042,2023-01-15 00:00,62420.39,706.0,0.394,16588.0,20,West,1
APP-20043,2023-01-15 08:00,50904.72,724.0,0.215,17039.0,18,South,0
APP-20044,2023-01-15 16:00,71209.94,730.0,0.368,15159.0,21,East,0
APP-20045,2023-01-16 00:00,64541.32,718.0,0.163,20942.0,14,West,1
APP-20046,2023-01-16 08:00,51755.32,578.0,0.379,16796.0,14,South,1
APP-20047,2023-01-16 16:00,90417.09,678.0,0.348,24178.0,10,East,0
APP-20048,2023-01-17 00:00,65860.95,723.0,0.268,32073.0,7,North,0
APP-20049,2023-01-17 08:00,58759.41,705.0,0.353,28606.0,21,East,1
APP-20050,2023-01-17 16:00,61202.9,733.0,0.24,15306.0,15,East,1
APP-20051,2023-01-18 00:00,89280.02,756.0,0.206,23506.0,9,East,1
APP-20052,2023-01-18 08:00,78669.12,733.0,0.417,34404.0,8,West,1
APP-20053,2023-01-18 16:00,62564.73,677.0,0.237,7387.0,14,North,1
APP-20054,2023-01-19 00:00,50118.65,686.0,0.334,7740.0,21,West,0
APP-20055,2023-01-19 08:00,52457.07,783.0,0.369,24466.0,4,North,1
