candidate_id,gender,department,experience_years,technical_score,hired
CAND-0001,Male,Marketing,1,52.6,0
CAND-0002,Male,Sales,8,88.2,1
CAND-0003,Male,Sales,14,79.1,1
CAND-0004,Non-Binary,Sales,14,73.5,1
CAND-0005,Male,Engineering,5,63.0,0
CAND-0006,Male,Sales,8,75.9,1
CAND-0007,Female,Engineering,7,94.3,1
CAND-0008,Female,Design,9,73.0,1
CAND-0009,Male,Engineering,2,47.9,1
CAND-0010,Male,Sales,9,20.0,0
CAND-0011,Male,Engineering,10,75.8,1
CAND-0012,Male,Engineering,5,55.2,0
CAND-0013,Female,Design,5,68.5,1
CAND-0014,Female,Engineering,1,57.9,1
CAND-0015,Female,Sales,6,56.8,1
CAND-0016,Male,Engineering,10,58.5,1
CAND-0017,Female,Marketing,10,59.9,1
CAND-0018,Male,Engineering,10,81.6,1
CAND-0019,Male,Marketing,10,78.6,1
CAND-0020,Male,Sales,3,51.9,1
CAND-0021,Female,Marketing,13,53.9,1
CAND-0022,Female,Marketing,10,75.7,1
CAND-0023,Male,Marketing,3,85.8,0
CAND-0024,Male,Marketing,3,85.6,0
CAND-0025,Male,Marketing,13,55.0,0
CAND-0026,Female,Engineering,4,84.8,0
CAND-0027,Female,Design,9,43.4,0
CAND-0028,Male,Marketing,13,67.0,1
CAND-0029,Non-Binary,Sales,8,77.3,1
CAND-0030,Female,Sales,12,38.8,0
CAND-0031,Female,Engineering,6,100.0,1
CAND-0032,Male,Design,8,89.9,1
CAND-0033,Male,Design,8,79.7,1
CAND-0034,Male,Marketing,1,55.5,0
CAND-0035,Male,Sales,9,69.0,0
CAND-0036,Female,Sales,1,81.9,1
CAND-0037,Male,Engineering,11,53.2,0
CAND-0038,Female,Marketing,2,67.3,0
CAND-0039,Male,Sales,9,83.7,1
CAND-0040,Male,Marketing,7,47.6,0
CAND-0041,Male,Design,10,75.0,0
CAND-0042,Male,Marketing,1,43.7,1
CAND-0043,Male,Marketing,3,55.8,0
CAND-0044,Female,Engineering,14,62.4,1
CAND-0045,Female,Engineering,1,77.7,0
CAND-0046,Male,Design,5,59.5,0
CAND-0047,Female,Design,4,71.9,1
CAND-0048,Male,Marketing,8,59.7,1
CAND-0049,Male,Sales,9,62.0,0
CAND-0050,Male,Marketing,12,88.8,0
CAND-0051,Male,Design,4,52.7,1
CAND-0052,Male,Engineering,3,81.4,0
CAND-0053,Female,Engineering,14,70.0,1
CAND-0054,Non-Binary,Design,4,61.4,1
CAND-0055,Female,Marketing,3,51.7,0
CAND-0056,Female,Sales,6,52.8,0
CAND-0057,Female,Engineering,1,58.9,0
CAND-0058,Male,Marketing,2,67.7,1
CAND-0059,Male,Sales,8,79.1,1
CAND-0060,Female,Design,3,65.5,0
CAND-0061,Non-Binary,Marketing,4,66.5,1
CAND-0062,Male,Sales,12,68.7,1
CAND-0063,Male,Marketing,1,77.2,0
CAND-0064,Male,Engineering,3,79.7,1
CAND-0065,Male,Design,1,49.2,0
CAND-0066,Female,Engineering,11,65.8,1
CAND-0067,Male,Engineering,10,88.4,1
CAND-0068,Male,Marketing,5,50.3,0
CAND-0069,Male,Design,1,71.1,1
CAND-0070,Female,Marketing,12,67.4,1
CAND-0071,Male,Sales,9,61.5,1
CAND-0072,Female,Design,7,93.9,1
CAND-0073,Male,Engineering,11,70.6,1
CAND-0074,Male,Engineering,8,92.7,1
CAND-0075,Male,Engineering,9,70.1,1
CAND-0076,Male,Marketing,10,76.9,1
CAND-0077,Male,Marketing,8,61.3,0
CAND-0078,Male,Marketing,3,61.5,1
CAND-0079,Female,Design,7,76.1,0
CAND-0080,Male,Design,7,76.4,1
CAND-0081,Female,Design,14,79.0,1
CAND-0082,Male,Design,7,75.7,1
CAND-0083,Male,Sales,12,50.0,1
CAND-0084,Male,Engineering,8,57.9,1
CAND-0085,Female,Marketing,4,82.7,0
CAND-0086,Male,Marketing,11,40.6,1
CAND-0087,Male,Sales,6,74.4,0
CAND-0088,Male,Engineering,2,68.3,0
CAND-0089,Female,Engineering,7,82.7,1
CAND-0090,Female,Sales,9,76.2,1
CAND-0091,Male,Design,5,60.0,0
CAND-0092,Female,Engineering,4,59.4,1
CAND-0093,Male,Design,2,62.2,1
CAND-0094,Male,Sales,7,78.7,1
CAND-0095,Female,Marketing,2,35.5,0
CAND-0096,Non-Binary,Marketing,2,72.4,1
CAND-0097,Female,Marketing,9,56.8,1
CAND-0098,Male,Marketing,2,72.9,1
CAND-0099,Male,Engineering,10,75.2,1
CAND-0100,Female,Design,3,45.1,0
CAND-0101,Male,Marketing,3,66.6,0
CAND-0102,Female,Marketing,2,72.3,0
CAND-0103,Female,Marketing,10,71.3,1
CAND-0104,Female,Sales,3,68.2,1
CAND-0105,Male,Engineering,9,51.7,0
CAND-0106,Male,Sales,11,54.0,1
CAND-0107,Male,Design,11,49.3,1
CAND-0108,Non-Binary,Marketing,11,78.3,0
CAND-0109,Male,Engineering,3,68.3,0
CAND-0110,Male,Engineering,5,69.2,0
CAND-0111,Female,Engineering,12,44.4,0
CAND-0112,Male,Sales,7,69.5,0
CAND-0113,Male,Sales,1,79.5,0
CAND-0114,Female,Sales,14,42.4,1
CAND-0115,Female,Sales,1,62.0,0
CAND-0116,Male,Design,10,46.4,0
CAND-0117,Female,Marketing,13,63.7,1
CAND-0118,Male,Marketing,2,56.5,0
CAND-0119,Female,Sales,1,75.7,1
CAND-0120,Male,Sales,1,72.5,0
CAND-0121,Male,Sales,14,89.4,1
CAND-0122,Male,Design,14,69.2,1
CAND-0123,Male,Design,10,75.1,1
CAND-0124,Male,Engineering,4,61.6,0
CAND-0125,Female,Marketing,10,53.5,1
