customer_id,gender,age,tenure_months,monthly_charges,total_charges,contract_type,tech_support_calls,refund_issued_after_churn,cancellation_survey_score,churn
CUST-10000,Male,22,33,65.62,,Month-to-Month,1,0,,0
CUST-10001,Female,35,41,56.91,2331.09,Month-to-Month,2,0,,0
CUST-10002,Male,45,8,32.1,274.49,One-Year,0,0,,0
CUST-10003,Male,59,11,61.89,661.2,Month-to-Month,0,0,,0
CUST-10004,Male,39,51,95.12,4852.6,Month-to-Month,2,0,,0
CUST-10005,Female,38,41,27.1,1107.76,Two-Year,0,0,,0
CUST-10006,Male,23,17,28.02,471.02,Month-to-Month,0,0,,0
CUST-10007,Male,18,46,55.48,,Month-to-Month,2,1,0.6,1
CUST-10008,Male,22,32,114.17,3651.29,Two-Year,2,0,,0
CUST-10009,Female,58,54,86.86,,Month-to-Month,2,0,,0
CUST-10010,Male,29,20,87.87,1741.52,Month-to-Month,3,1,1.3,1
CUST-10011,Male,43,33,56.19,1861.49,Month-to-Month,2,0,,0
CUST-10012,Male,63,40,79.37,3158.43,Month-to-Month,3,1,0.9,1
CUST-10013,Male,51,32,21.01,679.81,One-Year,2,0,,0
CUST-10014,Female,66,2,83.61,168.47,Two-Year,1,0,,0
CUST-10015,Male,31,33,111.33,3672.19,Month-to-Month,3,0,,0
CUST-10016,Female,43,30,81.26,2436.99,One-Year,1,0,,0
CUST-10017,Female,62,33,107.37,,Month-to-Month,1,0,,0
CUST-10018,Female,44,26,92.4,2390.63,Month-to-Month,0,0,,0
CUST-10019,Male,26,22,32.06,705.74,One-Year,1,0,,0
CUST-10020,Female,43,66,110.25,7265.1,Month-to-Month,1,0,,0
CUST-10021,Male,74,38,26.64,1013.96,Month-to-Month,3,0,,0
CUST-10022,Female,64,46,73.4,,Month-to-Month,0,0,,0
CUST-10023,Female,74,15,34.21,,Month-to-Month,1,0,,0
CUST-10024,Female,39,44,21.17,937.57,Month-to-Month,1,0,,0
CUST-10025,Female,64,49,62.2,3040.8,Two-Year,1,1,1.9,1
CUST-10026,Female,73,61,49.5,3018.88,Month-to-Month,1,1,1.4,1
CUST-10027,Female,47,67,68.6,4593.82,Month-to-Month,1,0,,0
CUST-10028,Female,60,6,77.72,463.29,Month-to-Month,0,1,1.2,1
CUST-10029,Female,65,9,24.37,211.32,One-Year,1,0,,0
CUST-10030,Male,34,6,32.3,189.48,One-Year,2,0,,0
CUST-10031,Male,43,32,75.86,2416.39,One-Year,2,1,0.9,1
CUST-10032,Female,53,41,54.32,2210.18,One-Year,0,0,,0
CUST-10033,Female,18,8,92.92,736.35,Two-Year,1,0,,0
CUST-10034,Female,25,50,85.23,4267.76,Month-to-Month,6,0,,0
CUST-10035,Male,66,62,104.56,6485.06,Month-to-Month,1,0,,0
CUST-10036,Female,52,62,89.25,5520.93,Two-Year,1,0,,0
CUST-10037,Male,69,7,62.99,436.87,Two-Year,1,1,0.9,1
CUST-10038,Male,32,4,87.3,356.12,Two-Year,1,0,,0
CUST-10039,Male,64,6,47.54,280.76,Month-to-Month,1,0,1.5,1
CUST-10040,Male,73,58,50.63,,Month-to-Month,3,0,,0
CUST-10041,Male,39,22,98.9,2198.38,Month-to-Month,1,0,,0
