passenger_id,pclass,sex,age,sibsp,parch,fare,embarked,survived
1,2,male,31.3,0,0,48.36,S,0
2,3,male,20.8,4,0,16.22,C,1
3,1,female,29.7,0,0,96.13,S,1
4,3,male,53.0,0,0,19.81,C,0
5,1,male,42.2,0,0,88.28,S,0
6,1,female,32.9,2,0,99.31,Q,1
7,2,male,42.9,0,0,100.99,S,1
8,3,male,37.6,0,0,18.82,C,0
9,1,male,35.5,1,0,97.06,S,0
10,3,male,,1,0,17.96,S,0
11,3,male,37.2,0,0,43.43,S,0
12,1,male,42.0,0,0,114.99,S,0
13,3,male,32.3,1,0,14.95,S,1
14,3,female,26.4,1,0,46.53,C,1
15,3,female,22.3,0,2,14.46,S,0
16,1,female,20.7,0,0,86.5,Q,1
17,3,female,7.5,0,2,27.87,C,1
18,3,male,17.2,0,1,19.31,S,1
19,1,female,16.8,0,0,96.35,S,1
20,1,male,22.9,0,1,100.86,Q,0
21,1,female,51.9,2,0,85.81,S,1
22,1,male,,0,0,90.2,S,1
23,2,male,33.4,1,0,34.27,S,1
24,3,female,33.8,0,0,16.65,Q,1
25,2,female,52.2,0,0,25.75,S,0
26,3,female,,0,0,826.6,S,0
27,3,male,26.9,3,0,36.27,S,0
28,3,male,28.5,0,0,48.35,S,0
29,3,male,45.9,0,0,14.48,S,0
30,1,male,48.8,0,0,89.3,C,1
31,3,male,36.6,0,2,27.84,S,0
32,3,male,47.3,0,0,58.28,C,0
33,1,male,32.5,1,0,90.34,S,1
34,1,male,27.6,1,0,113.99,S,1
35,2,female,46.5,0,1,35.58,S,1
36,2,female,36.8,1,0,72.05,C,1
37,2,male,,0,2,27.2,C,0
38,1,male,44.0,1,0,139.56,S,1
39,2,male,27.1,0,0,33.72,S,0
40,3,male,25.4,1,2,57.84,C,1
41,2,female,42.5,1,2,34.21,S,0
42,3,female,28.8,1,0,23.33,S,1
43,3,female,35.4,0,0,36.5,S,0
44,3,male,39.3,0,0,31.24,S,0
45,2,female,19.0,1,0,39.5,S,1
46,3,male,35.4,1,0,20.09,S,0
47,1,male,48.9,0,0,108.58,S,1
48,2,male,,0,0,69.41,S,0
49,3,female,36.3,0,0,12.15,C,0
50,1,male,18.4,0,0,98.3,S,1
51,2,male,44.3,1,2,55.15,S,0
52,1,male,44.2,1,0,100.88,S,1
53,1,male,25.0,0,0,109.2,C,0
54,2,male,60.9,2,0,58.82,S,0
55,3,male,,0,1,32.85,C,0
56,2,male,39.9,0,2,43.94,S,1
57,3,female,39.1,0,1,62.18,C,1
58,3,male,43.8,1,0,41.89,S,0
59,3,male,16.1,1,2,37.34,S,0
60,3,male,32.7,0,1,13.36,C,0
61,3,female,35.4,1,0,16.1,S,1
62,3,male,24.4,0,0,24.2,C,1
63,3,female,36.5,0,0,30.55,S,0
64,1,male,47.2,0,0,90.42,S,0
65,3,male,24.1,0,2,13.47,C,1
66,3,female,,1,0,17.59,C,0
67,3,male,,0,0,34.11,C,0
68,3,male,5.0,0,0,43.48,S,0
69,1,male,40.9,0,0,121.61,Q,1
70,2,male,,0,1,749.13,S,0
71,3,male,30.7,0,0,509.66,S,0
72,2,female,16.2,0,0,32.83,S,1
73,3,female,27.4,0,2,19.07,Q,0
74,1,male,45.4,1,1,101.46,S,1
75,3,male,30.0,0,0,18.66,C,0
76,3,female,,0,0,12.31,S,0
77,2,male,,2,0,33.67,S,1
78,1,male,12.7,0,1,88.81,S,1
79,1,female,38.7,0,1,85.44,S,0
80,3,female,12.4,0,0,21.55,S,1
81,3,female,16.8,0,0,15.46,S,1
82,1,female,15.3,0,0,94.04,S,1
83,1,female,27.5,0,0,889.52,S,1
84,3,male,25.1,1,0,25.88,S,0
85,3,female,,1,0,82.45,S,1
86,1,male,17.3,1,0,96.89,S,1
87,2,male,44.1,0,0,40.61,S,0
88,3,male,41.7,0,0,49.75,S,0
89,3,female,27.6,0,1,19.03,S,0
90,3,male,23.3,0,0,14.73,S,0
91,3,female,21.9,0,0,16.99,C,1
92,3,female,,0,0,19.73,S,0
93,3,male,10.4,0,0,27.54,Q,0
94,3,female,16.6,0,0,12.07,Q,0
95,2,female,,0,0,53.8,C,1
96,1,female,,0,1,86.19,C,1
97,2,male,52.9,0,0,59.64,S,0
98,3,female,25.8,0,0,56.77,S,0
99,3,female,24.9,0,0,81.23,S,0
100,2,male,24.3,0,2,49.87,S,1
101,3,male,25.5,0,0,14.29,S,0
102,1,male,20.8,0,0,103.37,S,1
103,1,female,33.8,0,1,88.41,C,1
104,2,male,30.4,1,0,59.11,S,0
105,3,male,22.9,0,0,17.71,S,0
106,3,female,47.5,0,0,17.94,S,0
107,3,male,,0,0,49.45,Q,0
108,3,female,46.3,0,0,12.2,S,1
109,2,male,37.8,0,0,28.23,S,1
110,3,male,40.7,4,1,20.22,Q,0
111,1,male,,1,1,103.1,S,1
112,1,female,,0,2,100.64,C,1
113,1,female,,0,0,101.6,C,1
114,2,female,35.5,0,0,56.81,S,0
115,1,female,38.8,0,2,734.25,S,1
116,2,male,16.1,1,0,666.64,S,0
117,3,male,26.0,0,1,31.39,S,0
118,2,male,,0,0,40.16,Q,1
119,3,male,4.5,0,1,20.92,S,0
120,2,female,,0,2,25.26,Q,1
121,1,male,27.5,3,0,85.94,S,1
122,1,female,35.0,1,0,86.9,Q,1
123,1,female,11.0,1,0,91.31,S,1
124,1,male,28.2,0,0,86.88,S,1
125,3,female,,0,0,20.33,S,1
126,3,male,31.0,1,0,14.95,S,0
127,2,female,43.1,4,0,47.66,S,1
128,2,male,21.7,0,0,55.78,S,0
129,3,male,,4,0,19.41,S,0
130,1,male,,0,0,95.74,S,0
131,1,female,35.2,0,0,131.02,S,1
132,3,female,13.4,0,0,23.5,C,1
133,3,male,18.8,0,1,91.7,S,0
134,3,female,51.9,1,0,14.3,C,0
135,3,male,,0,0,41.73,C,0
136,1,female,43.1,1,1,95.31,C,1
137,2,male,23.3,0,0,25.34,S,1
138,1,male,,0,0,138.75,S,1
139,3,female,34.1,1,0,62.31,S,0
140,3,male,,0,0,19.25,S,0
141,2,male,9.5,1,0,71.23,S,1
142,1,male,31.2,0,2,87.28,S,1
143,2,male,19.9,0,0,42.1,S,0
144,1,male,44.0,0,1,643.06,S,0
145,2,female,7.5,1,0,29.25,C,1
146,3,male,,0,1,34.67,S,0
147,3,male,10.7,0,0,859.07,S,0
148,2,male,25.1,1,0,25.11,S,1
149,1,female,,0,0,93.02,S,1
150,1,female,56.6,1,1,88.88,S,1
151,1,female,11.2,0,0,102.25,S,1
152,1,male,,0,0,88.24,S,0
153,3,male,5.8,0,0,39.7,S,0
154,1,female,52.4,0,0,89.66,S,1
155,3,female,35.6,0,0,19.49,S,0
156,3,male,,0,0,17.31,S,0
157,3,male,50.6,0,0,27.49,C,0
158,2,male,32.1,0,0,26.6,S,0
159,3,male,33.1,0,2,21.75,S,0
160,3,female,31.8,0,0,18.11,S,0
161,2,male,37.9,0,0,57.33,S,1
162,2,male,23.1,1,0,26.14,Q,0
163,3,male,27.0,0,0,38.55,S,0
164,2,male,41.3,0,0,27.75,S,0
165,2,male,33.9,0,0,26.39,S,1
166,2,male,28.4,0,1,28.39,C,0
167,1,female,10.4,0,0,86.62,Q,1
168,1,male,51.0,1,0,96.04,C,1
169,1,male,20.7,1,2,151.61,S,1
170,3,male,43.8,1,0,12.52,Q,0
171,2,male,32.5,0,0,34.27,S,1
172,3,male,11.9,0,0,19.32,S,0
173,3,male,47.5,2,0,18.22,Q,1
174,1,female,,0,0,91.05,C,1
175,3,male,48.7,2,0,45.81,S,0
176,3,female,27.4,0,0,12.29,S,1
177,3,male,39.9,2,0,34.37,S,0
178,3,male,5.3,2,0,16.37,S,0
179,3,female,23.0,0,0,19.25,S,0
180,1,male,12.2,0,0,93.17,S,1
181,3,male,,0,0,17.45,S,0
182,2,male,36.6,2,2,26.47,S,1
183,3,male,21.5,1,0,13.82,S,0
184,2,male,42.1,0,0,30.31,S,0
185,3,male,18.0,0,2,37.87,S,1
186,3,female,,1,0,14.17,C,0
187,3,female,,0,2,32.36,S,0
188,3,male,44.2,1,0,17.11,S,0
189,3,male,25.2,1,1,44.24,Q,0
190,3,male,1.0,1,0,20.39,S,0
191,1,male,38.2,0,1,87.83,S,0
192,3,female,,0,1,75.86,S,1
193,3,male,16.3,0,0,14.92,S,0
194,3,male,,2,0,24.58,C,0
195,3,female,50.1,0,0,24.63,S,0
196,2,female,14.1,0,0,32.0,S,1
197,1,female,36.6,0,0,130.39,S,1
198,3,female,,0,0,39.86,S,1
199,3,female,25.0,1,1,38.56,S,0
200,2,male,,1,0,79.83,S,0
201,3,male,52.9,1,0,21.16,S,0
202,3,male,25.9,0,0,13.53,C,0
203,3,male,26.6,2,0,33.75,S,0
204,3,female,38.7,0,0,19.19,C,1
205,1,male,42.9,0,0,88.17,S,1
206,3,male,28.2,0,0,21.9,S,0
207,3,male,25.7,0,1,51.0,S,1
208,2,male,1.0,0,0,27.82,C,1
209,2,female,19.1,0,1,53.33,C,1
210,1,female,,0,0,93.12,C,0
211,3,male,39.6,0,0,14.21,S,0
212,2,male,26.6,0,0,53.3,S,0
213,2,female,,1,0,77.41,S,1
214,2,female,29.9,0,0,30.16,C,1
215,3,male,17.8,0,0,17.43,S,0
216,3,female,51.7,0,0,19.43,S,1
217,3,female,48.2,1,0,37.24,S,1
218,2,female,52.7,0,0,25.16,S,0
219,3,female,39.6,4,0,15.8,S,1
220,3,female,29.6,0,0,462.34,S,1
221,2,male,,0,0,32.8,S,0
222,1,female,20.5,0,0,91.01,S,1
223,3,female,17.8,1,0,42.87,C,0
224,3,female,,0,0,49.39,S,1
225,3,female,37.3,0,0,56.34,C,1
226,1,male,19.3,0,0,89.77,C,1
227,3,male,27.8,0,0,48.54,S,0
228,3,male,7.6,1,0,32.03,S,0
229,3,female,36.7,1,0,14.51,S,1
230,3,male,8.8,0,0,26.13,S,0
231,3,male,,0,0,12.4,S,0
232,3,male,,0,0,30.48,S,0
233,1,male,46.5,0,1,104.84,S,1
234,3,female,35.2,0,1,35.36,S,1
235,1,female,,0,0,87.84,S,1
236,3,female,22.6,0,2,26.84,Q,1
237,2,male,19.2,1,0,27.96,S,0
238,3,female,24.9,0,0,55.96,S,0
239,1,male,8.8,0,0,101.86,S,1
240,3,male,33.5,0,0,13.5,S,0
241,1,female,30.7,2,1,88.11,S,1
242,2,female,16.9,1,1,41.34,S,1
243,3,female,52.0,0,0,21.71,S,0
244,3,male,38.5,0,0,31.99,S,0
245,1,male,39.7,0,0,89.94,S,0
246,2,male,,0,1,41.09,S,1
247,1,male,30.0,0,0,87.92,C,0
248,3,male,38.8,3,0,23.77,S,0
249,3,male,,0,0,59.48,S,0
250,3,male,,0,1,26.84,S,0
251,1,male,27.1,1,1,85.77,S,1
252,2,female,,1,0,92.33,S,1
253,3,female,38.9,0,0,14.56,S,1
254,1,female,12.3,1,1,103.99,Q,1
255,3,male,,0,1,23.41,S,0
256,2,male,11.8,0,0,30.23,S,1
257,3,male,38.9,1,0,14.93,S,0
258,3,male,,2,1,14.93,S,0
259,2,male,36.7,1,1,54.32,S,0
260,3,male,42.7,0,1,42.94,S,0
261,3,female,32.1,1,0,21.39,Q,1
262,2,male,13.2,0,0,26.64,S,0
263,2,female,17.4,0,0,57.33,S,1
264,3,female,19.8,0,1,22.01,C,0
265,1,male,3.5,0,0,93.66,C,1
266,3,male,,2,0,19.85,S,0
267,1,female,31.5,0,0,91.81,Q,1
268,1,male,14.1,0,1,96.2,C,1
269,2,male,50.4,0,0,38.92,Q,0
270,1,female,20.2,1,0,94.42,C,1
271,3,female,33.5,0,0,46.04,C,0
272,2,female,18.4,0,0,30.73,S,1
273,3,male,1.7,1,0,24.95,C,1
274,3,male,10.9,0,2,17.35,S,0
275,3,male,23.7,0,0,33.0,S,0
276,1,male,42.6,0,0,86.62,S,1
277,3,male,34.9,0,0,15.14,Q,0
278,2,male,32.0,3,1,49.23,S,0
279,3,female,1.9,0,0,15.04,C,1
280,2,female,47.8,4,0,39.74,S,0
281,2,female,33.1,0,2,77.72,S,1
282,3,female,28.3,3,0,23.1,S,1
283,2,male,,0,0,28.11,S,0
284,3,male,47.5,0,1,17.8,Q,0
285,2,female,46.2,0,0,51.01,S,1
286,3,female,26.5,0,0,18.5,S,1
287,3,male,16.0,0,2,31.28,S,0
288,2,male,43.8,0,0,47.53,Q,0
289,3,female,10.9,0,0,22.43,C,1
290,3,male,57.3,0,0,34.93,S,0
291,3,male,,0,0,17.72,S,0
292,3,male,15.1,0,1,22.89,S,0
293,3,female,12.8,1,0,29.4,S,1
294,1,male,12.1,0,0,909.04,S,1
295,3,female,,2,1,16.8,Q,1
296,3,male,29.9,0,0,27.83,C,0
297,2,male,12.7,4,0,40.98,S,0
298,3,female,25.0,0,1,22.2,Q,0
299,1,male,10.8,3,1,108.81,S,0
300,2,male,38.3,0,1,34.87,S,1
301,1,male,29.2,1,0,116.97,S,1
302,1,female,24.7,1,0,104.97,S,1
303,2,male,,0,0,30.67,S,0
304,3,male,25.8,0,0,19.54,S,1
305,2,female,24.2,1,0,41.53,C,1
306,3,male,34.4,0,0,45.73,Q,0
307,1,male,32.3,0,0,87.95,S,1
308,3,female,41.1,1,0,22.84,S,0
309,3,male,23.2,0,0,13.9,S,0
310,2,male,4.0,1,0,29.92,S,1
311,3,male,43.9,0,0,777.24,C,0
312,3,female,16.9,0,0,795.2,S,1
313,3,male,,0,0,28.29,S,0
314,2,male,,0,1,59.66,S,0
315,3,female,34.2,3,1,64.29,Q,1
316,3,male,,0,0,15.66,S,1
317,1,male,,0,0,105.73,Q,1
318,3,male,24.5,0,0,51.13,S,0
319,2,female,49.8,1,0,26.44,S,1
320,2,male,,0,1,33.02,S,0
321,3,female,,0,0,49.78,C,0
322,2,female,,0,0,28.4,S,1
323,2,male,26.5,0,0,65.72,S,0
324,3,male,33.3,0,0,23.24,S,0
325,1,female,36.8,0,1,86.58,S,1
326,1,male,,1,0,93.96,C,1
327,3,male,18.2,2,0,17.92,C,0
328,2,male,24.1,1,0,501.98,C,0
329,2,male,40.3,0,0,36.7,S,0
330,1,male,14.0,0,0,94.91,S,1
331,3,male,23.5,0,0,21.87,Q,1
332,3,male,,1,1,13.38,C,0
333,3,male,42.3,0,0,36.32,S,0
334,1,female,27.3,1,0,94.85,S,1
335,3,female,24.2,0,0,37.8,C,1
336,3,male,11.5,1,2,38.11,S,0
337,2,male,37.4,1,0,30.72,S,0
338,3,male,48.5,0,0,12.07,S,0
339,3,male,,0,0,48.33,Q,0
340,1,male,35.4,2,0,106.45,S,0
341,2,male,,2,0,26.7,S,1
342,1,female,17.1,1,0,103.15,C,1
343,1,male,3.7,0,0,85.3,S,1
344,3,male,32.5,1,1,12.42,Q,0
345,3,male,,0,0,23.19,S,0
346,1,male,,0,2,86.51,S,1
347,3,female,45.6,0,1,62.0,S,0
348,3,male,33.4,0,1,45.64,S,1
349,2,female,35.0,0,2,40.74,S,1
350,3,male,1.0,1,0,12.99,S,0
351,3,male,40.7,0,1,17.89,S,0
352,1,female,,0,0,91.97,S,0
353,1,male,20.2,0,0,94.83,S,1
354,1,male,25.5,0,2,87.78,S,1
355,2,female,,0,0,37.92,S,1
356,2,male,20.0,0,0,33.58,S,1
357,2,female,,0,1,69.15,S,1
358,3,male,22.2,0,0,53.28,S,0
359,3,male,31.4,0,1,24.5,S,0
360,2,male,,0,0,40.51,S,0
361,2,female,27.0,0,0,27.22,S,1
362,3,male,14.7,0,0,15.79,C,0
363,3,male,21.0,0,1,46.65,S,0
364,1,male,32.0,0,0,103.02,S,1
365,2,male,,0,1,28.15,S,1
366,3,male,18.5,0,0,24.67,S,1
367,1,male,,0,0,125.95,S,1
368,2,female,10.2,1,0,916.69,C,1
369,2,male,54.9,0,0,28.08,Q,0
370,1,male,46.9,1,0,127.72,Q,0
371,1,male,23.1,1,0,94.28,S,0
372,2,male,,1,0,33.1,S,0
373,3,female,32.8,0,0,16.67,S,1
374,3,male,9.7,1,1,45.33,C,0
375,3,male,2.0,0,0,40.02,S,0
376,1,male,,0,0,92.74,S,1
377,1,female,28.1,0,0,85.47,S,0
378,3,female,,2,1,20.88,S,0
379,3,male,21.4,0,1,877.43,S,0
380,2,male,47.8,2,1,27.31,S,0
381,1,male,,0,0,92.49,S,1
382,2,male,14.1,1,1,26.57,S,0
383,2,male,36.8,1,1,453.75,S,0
384,1,female,13.7,2,1,85.73,S,1
385,3,male,,0,0,19.7,S,0
386,1,female,31.7,1,1,87.66,S,1
387,3,male,15.3,2,0,29.51,C,0
388,3,female,28.1,0,0,13.23,S,1
389,2,male,,0,0,36.87,S,0
390,3,male,,1,0,34.25,S,0
391,3,female,1.0,0,0,56.95,S,1
392,1,male,32.0,1,0,102.99,Q,1
393,2,male,,0,1,26.57,S,1
394,3,female,27.6,0,0,13.39,S,1
395,3,male,22.8,0,0,31.73,S,0
396,3,male,27.1,0,0,15.64,S,0
397,3,female,27.9,0,2,20.89,C,0
398,2,female,,1,0,81.34,S,1
399,3,female,19.8,0,0,37.71,S,0
400,2,male,,1,0,53.12,C,0
401,3,female,,1,0,41.57,S,0
402,3,female,,0,0,26.5,S,1
403,3,female,41.7,0,0,32.43,S,1
404,3,female,36.7,0,0,18.67,Q,0
405,3,male,16.4,0,0,109.01,C,0
406,3,male,18.7,0,0,16.92,S,0
407,3,female,15.9,0,2,25.37,Q,1
408,1,female,38.4,2,0,89.97,S,1
409,3,male,,0,0,13.78,S,0
410,1,female,33.6,0,2,97.58,S,1
411,2,female,,3,0,31.54,C,1
412,1,female,63.2,1,0,98.13,S,1
413,1,female,34.4,1,0,97.27,S,1
414,3,female,18.6,1,0,23.72,S,1
415,2,female,9.6,0,0,26.97,Q,1
416,3,female,26.1,1,2,20.7,C,1
417,2,male,28.3,2,0,50.07,S,0
418,2,male,1.0,0,0,30.68,S,1
419,2,male,20.0,0,2,33.8,C,0
420,3,male,,0,2,22.21,C,0
421,3,male,,0,0,41.79,Q,0
422,3,female,43.6,0,1,27.99,S,1
423,2,female,8.2,0,0,26.58,S,1
424,3,male,39.5,0,0,42.06,Q,0
425,1,female,42.8,0,0,111.76,S,1
426,3,male,43.4,0,0,33.01,C,0
427,2,male,,1,0,34.41,Q,1
428,1,female,34.4,0,0,106.25,S,0
429,2,male,20.6,0,0,34.77,S,0
430,1,female,10.3,0,0,105.01,S,1
431,3,male,,0,0,43.82,S,0
432,3,male,17.3,0,2,45.18,S,0
433,3,female,42.9,0,0,21.09,S,1
434,3,male,,1,0,41.42,S,0
435,3,female,13.9,0,1,13.6,S,0
436,3,male,,0,0,13.61,C,0
437,3,male,24.7,0,0,23.92,S,0
438,1,female,29.0,0,0,100.83,S,1
439,2,female,44.1,1,0,27.49,S,0
440,3,male,39.7,0,1,21.59,S,0
441,3,male,30.7,1,2,13.49,S,0
442,3,female,26.4,0,0,25.82,S,1
443,3,male,5.2,1,0,40.98,C,0
444,1,male,48.1,1,0,105.07,C,1
445,1,female,23.7,1,0,92.13,C,1
446,3,male,51.8,1,1,88.23,C,1
447,2,male,32.7,0,0,41.31,S,1
448,1,male,58.4,1,0,110.33,S,1
449,3,female,38.5,0,1,28.62,S,0
450,1,male,10.0,1,0,153.23,S,1
451,3,female,21.4,0,2,37.84,S,0
452,3,male,,0,0,22.99,S,1
